id	title	filename	original_image_url	landing_page
museovirasto.99BF97C1ADA23B0F2318C0ACC4499B0C	mehiläiskeko parveiluaikaan	images/museovirasto.99BF97C1ADA23B0F2318C0ACC4499B0C.jpg	https://finna.fi/Cover/Download?id=museovirasto.99BF97C1ADA23B0F2318C0ACC4499B0C&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.99BF97C1ADA23B0F2318C0ACC4499B0C
museovirasto.A4258684491D1ADC9F86EC323E664DDE	kolme kuvioitua kudottua peittoa	images/museovirasto.A4258684491D1ADC9F86EC323E664DDE.jpg	https://finna.fi/Cover/Download?id=museovirasto.A4258684491D1ADC9F86EC323E664DDE&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.A4258684491D1ADC9F86EC323E664DDE
museovirasto.AB6FD72BBD4D19D6923CB961C7972EC0	Viktoria Adamkovitš	images/museovirasto.AB6FD72BBD4D19D6923CB961C7972EC0.jpg	https://finna.fi/Cover/Download?id=museovirasto.AB6FD72BBD4D19D6923CB961C7972EC0&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.AB6FD72BBD4D19D6923CB961C7972EC0
museovirasto.B59086D5A37DC3AF1141A086E6690B26	lusikkateline tuvan ulkoseinällä	images/museovirasto.B59086D5A37DC3AF1141A086E6690B26.jpg	https://finna.fi/Cover/Download?id=museovirasto.B59086D5A37DC3AF1141A086E6690B26&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.B59086D5A37DC3AF1141A086E6690B26
museovirasto.C2260CEBBFF82E1C63F85F3EB974B9E4	mehiläispönttöjä mehiläistarhassa	images/museovirasto.C2260CEBBFF82E1C63F85F3EB974B9E4.jpg	https://finna.fi/Cover/Download?id=museovirasto.C2260CEBBFF82E1C63F85F3EB974B9E4&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.C2260CEBBFF82E1C63F85F3EB974B9E4
museovirasto.CF9EA6ACAEEAD10D43EF529A71C3C3F0	navetta	images/museovirasto.CF9EA6ACAEEAD10D43EF529A71C3C3F0.jpg	https://finna.fi/Cover/Download?id=museovirasto.CF9EA6ACAEEAD10D43EF529A71C3C3F0&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.CF9EA6ACAEEAD10D43EF529A71C3C3F0
museovirasto.D93F3EECF51ED405647CD29878E948E9	liiviläinen nainen heinätöissä	images/museovirasto.D93F3EECF51ED405647CD29878E948E9.jpg	https://finna.fi/Cover/Download?id=museovirasto.D93F3EECF51ED405647CD29878E948E9&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.D93F3EECF51ED405647CD29878E948E9
museovirasto.E4324C8789A3FA3630F262B5ED5E9D54	August Dišler	images/museovirasto.E4324C8789A3FA3630F262B5ED5E9D54.jpg	https://finna.fi/Cover/Download?id=museovirasto.E4324C8789A3FA3630F262B5ED5E9D54&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.E4324C8789A3FA3630F262B5ED5E9D54
museovirasto.E7AE0E1E86081B0FD90901798D2801CB	hiekkadyyni	images/museovirasto.E7AE0E1E86081B0FD90901798D2801CB.jpg	https://finna.fi/Cover/Download?id=museovirasto.E7AE0E1E86081B0FD90901798D2801CB&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.E7AE0E1E86081B0FD90901798D2801CB
museovirasto.EB462A0959F0535286FBB8EBD4459C17	Jani Rosenfeld vaimonsa ja lapsiensa kanssa	images/museovirasto.EB462A0959F0535286FBB8EBD4459C17.jpg	https://finna.fi/Cover/Download?id=museovirasto.EB462A0959F0535286FBB8EBD4459C17&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.EB462A0959F0535286FBB8EBD4459C17
museovirasto.F0F39CEDD65EF831AFC4DCF40EE50329	puisia mehiläispönttöjä mehiläistarhassa	images/museovirasto.F0F39CEDD65EF831AFC4DCF40EE50329.jpg	https://finna.fi/Cover/Download?id=museovirasto.F0F39CEDD65EF831AFC4DCF40EE50329&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.F0F39CEDD65EF831AFC4DCF40EE50329
museovirasto.F58B0E0B62FE1A567280E89F0C15614E	Triõnõ Jei, 65-vuotias liiviläisnainen	images/museovirasto.F58B0E0B62FE1A567280E89F0C15614E.jpg	https://finna.fi/Cover/Download?id=museovirasto.F58B0E0B62FE1A567280E89F0C15614E&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.F58B0E0B62FE1A567280E89F0C15614E
museovirasto.FBFE83EDA69832A6279F4265AD86560A	Jani Krišan tervaa kärrynpyöriä Drõudzinin talossa	images/museovirasto.FBFE83EDA69832A6279F4265AD86560A.jpg	https://finna.fi/Cover/Download?id=museovirasto.FBFE83EDA69832A6279F4265AD86560A&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.FBFE83EDA69832A6279F4265AD86560A
museovirasto.025EC5511B4EBA202F108FE8A8AA4219	mustanummilaisia miehiä vanhan linnan sijaintipaikalla	images/museovirasto.025EC5511B4EBA202F108FE8A8AA4219.jpg	https://finna.fi/Cover/Download?id=museovirasto.025EC5511B4EBA202F108FE8A8AA4219&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.025EC5511B4EBA202F108FE8A8AA4219
museovirasto.04A64E88FA1988F729F0E835811BDB7B	mies punomassa köyttä	images/museovirasto.04A64E88FA1988F729F0E835811BDB7B.jpg	https://finna.fi/Cover/Download?id=museovirasto.04A64E88FA1988F729F0E835811BDB7B&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.04A64E88FA1988F729F0E835811BDB7B
museovirasto.0D746F1F642FF49A70C815C6E4EF4ADE	Anbaugin perhe	images/museovirasto.0D746F1F642FF49A70C815C6E4EF4ADE.jpg	https://finna.fi/Cover/Download?id=museovirasto.0D746F1F642FF49A70C815C6E4EF4ADE&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.0D746F1F642FF49A70C815C6E4EF4ADE
museovirasto.1652D1067B2715408E594E5DAFF40858	kangaspuut	images/museovirasto.1652D1067B2715408E594E5DAFF40858.jpg	https://finna.fi/Cover/Download?id=museovirasto.1652D1067B2715408E594E5DAFF40858&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.1652D1067B2715408E594E5DAFF40858
museovirasto.2580177E5A8EEF2469ADF4210B85A491	Jānis Bertholds 9-vuotiaan pojanpoikansa Džems Bertholdsin kanssa	images/museovirasto.2580177E5A8EEF2469ADF4210B85A491.jpg	https://finna.fi/Cover/Download?id=museovirasto.2580177E5A8EEF2469ADF4210B85A491&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.2580177E5A8EEF2469ADF4210B85A491
museovirasto.31F00F8DADE4E51BF80268D4C3D5F966	Brjenkop vaimoineen	images/museovirasto.31F00F8DADE4E51BF80268D4C3D5F966.jpg	https://finna.fi/Cover/Download?id=museovirasto.31F00F8DADE4E51BF80268D4C3D5F966&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.31F00F8DADE4E51BF80268D4C3D5F966
